Key,Argument 1,Arg2,Arg3,Arg4,Arg5,Notes,"Hot Update Data for uncategorized items.

Can be anything.
Arguments are like the ""metadata"" for those items.

Just to make sure to add notes for what the key / arguments mean"
Radio_Intro,"Greetings, dear listeners. We regret to inform you that one of our beloved citizens has gone missing from his home. It's believed that he may have been attacked and possessed by a vicious monster. We urge all citizens to tune in to their radios and listen to FM 96 for any witness on any suspecious people. We also implore you to <color=yellow>exercise caution when opening your doors to strangers, including delivery persons</color>. Be vigilant and stay safe, everyone.",,,,,,
Opening,Test test,"Attention, citizens of Dorcha.There have been reports circulating about some  <color=yellow>mysterious creatures </color> that have been attempting to  <color=yellow>disguise itself as humans </color> and infiltrate our neighborhoods. We do not know the creature's targets yet, but I assure you we are taking swift action against these infiltration operations. The creature has the ability to <color=yellow>transform and mimic human behavior</color>. To protect our town and its people, we have locked down the area until we can fully eliminate any potential threats. It is essential that you stay informed by <color=yellow>listening to the radio and reading the newspaper</color> delivered to your doorstep. Stay safe, and stay vigilant.",,,,,
PrologueDeliveryRadio,"Greetings, shining citizens of Dorcha! We bring to you some troubling news. There has been an alarming increase in the number of individuals found deceased in our community, and the cause is currently unknown. For your safety, we urge all residents to stay within the confines of their homes and tune in to their radios for any updates. To ensure that you are well-fed during this time, we will be providing a <color=yellow>food delivery service</color>  straight to your doorstep. Stay home and stay safe.","Greetings, shining citizens of Dorcha! We bring to you some troubling news. There has been an alarming increase in the number of individuals found deceased in our community, and the cause is currently unknown. For your safety, we have implemented a <color=yellow>lockdown</color> until we can get to the bottom of this issue. We urge all residents to stay within the confines of their homes and tune in to their radios for any updates. To ensure that you are well-fed during this time, we will be providing a <color=yellow>food delivery service</color> that will bring sustenance and supplies straight to your doorstep. Please, do not put yourself at unnecessary risk. Your safety is our utmost priority. Stay home and stay safe.",,,,"Radio in Prologue.
(temporary text)",
NewspaperTutorialRadio,"Attention, citizens! It is with a heavy heart that we must inform you of the increasing number of deceased individuals that we have discovered. In an effort to keep the public informed and aware, we will be <color=yellow>distributing bi-weekly newspaper every Sunday and Wednesday</color> to all residents starting today. These newspaper will feature detailed weekly events and news updates.",,,,,,
FoodTutorialRadio,"A can a day, keeps the doctor away!",,,,,,
PowerCutoffRadio,"Dear residents, we are sad to announce that <color=yellow>several power lines were disrupted</color> late last night, and we will no longer be able to provide electricity to the residential area. Please prepare for the power outage. Sorry for the inconvenience, and stay safe.",,,,,,
TelepohoneBrokenRadio,"Dear residents, due to the unstable power supply, we have had to temporarily shut down all telephone lines. The lines will be restored as soon as possible. Thank you for your understanding.",,,,,,
TelepohoneFixedRadio,"Dear residents, we have fixed the telephone line. Sorry for the inconvenience. Stay safe.",,,,,,
NewspaperDay,1,,,,,,
CameraDay,4,,,,,,
ImportantNewsDay,1,,,,,,
PhoneFixDay,3,,,,,,
MerchantNoteDay,3,,,,,,
PowerCutoffDay,5,,,,,,
BountyHunterDay,4,6,"Random Value: (inclusive, exclusive) ",,,,
DorchaDaily_1,"Testing… Testing… Oh, we’re on? Ok. Good morning, Dorcha! Since we’re sure to have more than the usual crowd listening today allow me to introduce myself. My name is Donnes, and this is the Dorcha Daily. And while the lockdown may have forced me out of the studio, rest assured the real and reliable news marches on! I know it's been a rough week for us all, and my heart goes out to anyone who has lost a loved one during the initial confusion.",,,,,,
DorchaDaily_2,"Annnndd welcome back to Dorcha Daily, where our mission to deliver the real and reliable news straight to you. Well I guess it’s official now, folks: this lockdown is here to stay. I know that after two straight weeks of this some people are starting to get a little antsy. But I cannot stress enough, STAY INSIDE. It’s not worth the risk… These couriers are volunteers from some of Dorcha’s best and brightest veterans and officers, and from the reports most of them don’t seem make it back. I know we’ve all heard the endless reports of the dead and the missing. Just sit tight, listen to the radio, and appreciate the fact that our phones are back up. There are plenty of helpful folks out there, just waiting on the other side of the line. Well, I think that’s all for today. This has been Donnes of the Dorcha Daily, giving you the whole truth, uncomfortable though it may be. This night’s not over yet, just buckle up and bunker in. We can make it.",,,,,,
DorchaDaily_3,"Annnndd welcome back to the Dorcha Daily, where our mission is delivering real and reliable news straight to you. As we enter the third week of lockdown, tensions have been running understandably high, and that whole power outage sure didn’t help. Hopefully you loyal listeners heeded my earlier warnings and were prepared in advance. Now the Mayor has hopped on the airwaves a little while ago to give us a bit of a pep talk, but a confidential source tells me that things are looking far lower than he’s eager to let on. That “complete and continuous support” other countries promised? Yeah, looks like we should have read the fine print on that one. I wouldn’t be surprised if supplies start to run dry in the weeks to come, and once that happens I suspect the couriers won’t be quite so generous with their servings. And on that depressing note, it looks like we’re out of time. This has been Donnes of the Dorcha Daily, giving you everything that they won’t tell you. Hold on to those rations like your life depends on them… because they might very well.",,,,,,
Monster_Knock_Prob_Base,0.15,,,,,,
Initial_Food_Count,4,,,,,,
